city,gender,school_name,school_type,caste_community,religion,quota,accommodation,source,parents_thought,reason_for_joining,student_goal,cutoff_12th,geographic_segment,academic_segment,socioeconomic_segment,distance_category,marketing_channel_type,parents_sentiment
Tiruppur,Female,Government HSS Tiruppur,Government,MBC,Hindu,Government Counselling,Day Scholar,Newspaper Ad,Infrastructure and lab facilities are much better than other colleges we visited.,Interest,Higher Studies Masters,186,Local,Average,Budget,Close,Other,Neutral
Chennai,Male,Velammal HSS,Private Matriculation,BC,Christian,Management,Hostel,Campus Visit,We decided to invest in management quota considering the ROI through placements.,Interest,Become an Entrepreneur,186,Metro,Average,Middle,Distant,Other,Neutral
Karur,Male,GHI Matriculation Karur,Private Matriculation,BCM,Muslim,Management,Day Scholar,Google Search,Alumni working in good companies gave positive feedback about the college.,Interest,Higher Studies Masters,186,Local,Average,Middle,Distant,Digital,Positive
Kanchipuram,Male,ABC School Kanchipuram,Private CBSE,BC,Christian,Management,Hostel,Campus Visit,The academic reputation and placement statistics convinced us to choose BIT.,Counselling,Higher Studies Masters,195,Regional,High Performer,Premium,Distant,Other,Positive
Karur,Male,ABC School Karur,Private Matriculation,OC,Christian,Government Counselling,Day Scholar,Newspaper Ad,The convenience of staying at home while getting quality education is ideal.,Counselling,High Placement,181,Local,Average,Middle,Distant,Other,Neutral
Dindigul,Male,GHI Matriculation Dindigul,Private CBSE,BC,Hindu,Management,Day Scholar,Google Search,Erode location provides good balance of facilities without big city distractions.,Counselling,Become an Entrepreneur,189,Regional,Average,Premium,Distant,Digital,Positive
Salem,Female,Anna University HSS Salem,Private CBSE,BC,Hindu,Management,Day Scholar,College Website,Alumni working in good companies gave positive feedback about the college.,Counselling,High Placement,192,Local,High Performer,Premium,Close,Digital,Positive
Tiruppur,Female,Avinashilingam HSS,Private Matriculation,MBC,Christian,Management,Day Scholar,Newspaper Ad,The fees were high but the infrastructure and faculty quality convinced us.,Interest,High Placement,186,Local,Average,Middle,Close,Other,Positive
Tiruppur,Female,Kumaran Schools,Private CBSE,OC,Hindu,Management,Hostel,Newspaper Ad,The faculty qualifications and research opportunities impressed us during the campus visit.,Interest,Government Job,193,Local,High Performer,Premium,Close,Other,Positive
Erode,Female,Kongu Arts HSS,Private CBSE,OC,Hindu,Government Counselling,Day Scholar,TV Advertisement,The faculty qualifications and research opportunities impressed us during the campus visit.,Counselling,Higher Studies Masters,186,Local,Average,Mixed,Very Close,Traditional,Positive
Madurai,Male,Sri Meenakshi HSS,Private CBSE,OC,Hindu,Government Counselling,Hostel,Education Fair,Good hostel facilities and the mess food quality during our visit was satisfactory.,Counselling,High Placement,190,Regional,Average,Mixed,Distant,Traditional,Positive
Namakkal,Male,ABC School Namakkal,Private CBSE,OC,Christian,Management,Day Scholar,Social Media Ad,The campus environment seems conducive for focused technical studies.,Interest,Higher Studies Masters,194,Regional,High Performer,Premium,Distant,Digital,Neutral
Salem,Male,Anna University HSS Salem,Private CBSE,OC,Hindu,Management,Hostel,Social Media Ad,We heard about BIT through social media ad and the reviews were positive.,Interest,Higher Studies Masters,183,Local,Average,Premium,Close,Digital,Neutral
Coimbatore,Female,KCG HSS,Private CBSE,MBC,Christian,Government Counselling,Day Scholar,Friend Family Referral,No hostel expenses and we can monitor the studies closely from home.,Interest,Higher Studies Masters,197,Local,High Performer,Mixed,Close,Referral,Neutral
Karur,Female,Municipal HSS Karur,Government,BC,Hindu,Government Counselling,Day Scholar,School Counselor,The day scholar option works well for our family situation.,Interest,Higher Studies Masters,188,Local,Average,Budget,Distant,Referral,Neutral
Madurai,Female,Government HSS Madurai,Government,SC,Christian,Management,Hostel,Friend Family Referral,The faculty qualifications and research opportunities impressed us during the campus visit.,Interest,High Placement,187,Regional,Average,Budget,Distant,Referral,Positive
Karur,Male,Municipal HSS Karur,Government,BC,Hindu,Government Counselling,Day Scholar,College Website,No hostel expenses and we can monitor the studies closely from home.,Counselling,High Placement,196,Local,High Performer,Budget,Distant,Digital,Neutral
Tiruppur,Male,Palladam HSS,Private Matriculation,MBC,Christian,Government Counselling,Hostel,School Counselor,The campus environment seems conducive for focused technical studies.,Interest,Government Job,194,Local,High Performer,Middle,Close,Referral,Neutral
Coimbatore,Female,Sowripalayam HSS,Private CBSE,BC,Christian,Management,Hostel,TV Advertisement,Alumni working in good companies gave positive feedback about the college.,Interest,Government Job,191,Local,High Performer,Premium,Close,Traditional,Positive
Madurai,Female,TVS HSS,Private CBSE,BCM,Muslim,Government Counselling,Hostel,Newspaper Ad,We were initially worried about hostel life but the warden system reassured us.,Counselling,Become an Entrepreneur,185,Regional,Average,Mixed,Distant,Other,Concerned
Coimbatore,Male,Bharathi Park HSS,Private CBSE,MBC,Christian,Management,Day Scholar,Google Search,Strong industry connections and practical learning approach attracted us to BIT.,Counselling,Higher Studies Masters,195,Local,High Performer,Premium,Close,Digital,Neutral
Dindigul,Male,Dindigul Public School,Private CBSE,BC,Christian,Government Counselling,Hostel,TV Advertisement,Infrastructure and lab facilities are much better than other colleges we visited.,Counselling,Higher Studies Masters,181,Regional,Average,Mixed,Distant,Traditional,Neutral
Tiruppur,Female,XYZ HSS Tiruppur,Private CBSE,BC,Christian,Management,Day Scholar,Campus Visit,"Being close to home, day scholar option works perfectly for our family.",Interest,Become an Entrepreneur,173,Local,Below Average,Premium,Close,Other,Positive
Chennai,Female,Chettinad Vidyashram,Private CBSE,BCM,Muslim,Management,Hostel,Google Search,Erode location provides good balance of facilities without big city distractions.,Counselling,Higher Studies Masters,195,Metro,High Performer,Premium,Distant,Digital,Positive
Coimbatore,Female,SBOA School Coimbatore,Private Matriculation,BC,Hindu,Management,Day Scholar,College Website,The day scholar option works well for our family situation.,Counselling,Start Own Business,170,Local,Below Average,Middle,Close,Digital,Neutral
Namakkal,Male,Sri Vidya Mandir Namakkal,Private CBSE,OC,Hindu,Management,Day Scholar,Social Media Ad,The management fee was a stretch but the placement records justify the investment.,Interest,High Placement,184,Regional,Average,Premium,Distant,Digital,Neutral
Tiruppur,Female,Palladam HSS,Private CBSE,OC,Hindu,Management,Day Scholar,College Website,Alumni working in good companies gave positive feedback about the college.,Counselling,Start Own Business,172,Local,Below Average,Premium,Close,Digital,Positive
Vellore,Female,Government HSS Vellore,Government,MBC,Hindu,Government Counselling,Hostel,Friend Family Referral,The academic reputation and placement statistics convinced us to choose BIT.,Counselling,Higher Studies Masters,200,Regional,High Performer,Budget,Distant,Referral,Positive
Hyderabad,Male,ABC School Hyderabad,Private Matriculation,BC,Christian,Government Counselling,Hostel,College Website,Good hostel facilities and the mess food quality during our visit was satisfactory.,Counselling,High Placement,190,Metro,Average,Middle,Distant,Digital,Positive
Madurai,Male,Government HSS Madurai,Government,SC,Hindu,Government Counselling,Hostel,Google Search,The hostel option works well for our family situation.,Interest,High Placement,186,Regional,Average,Budget,Distant,Digital,Neutral
Salem,Male,Government HSS Salem,Government,MBC,Christian,Government Counselling,Day Scholar,Friend Family Referral,Erode location provides good balance of facilities without big city distractions.,Interest,Government Job,200,Local,High Performer,Budget,Close,Referral,Positive
Tiruppur,Male,DEF Matriculation School Tiruppur,Private Matriculation,BC,Hindu,Management,Day Scholar,College Website,"Being close to home, day scholar option works perfectly for our family.",Interest,Start Own Business,170,Local,Below Average,Middle,Close,Digital,Positive
Salem,Female,Montfort HSS Salem,Private CBSE,OC,Christian,Management,Hostel,Friend Family Referral,The faculty qualifications and research opportunities impressed us during the campus visit.,Counselling,High Placement,179,Local,Below Average,Premium,Close,Referral,Positive
Salem,Female,Sona HSS Salem,Private CBSE,OC,Christian,Government Counselling,Hostel,Education Fair,The academic reputation and placement statistics convinced us to choose BIT.,Interest,Higher Studies Masters,194,Local,High Performer,Mixed,Close,Traditional,Positive
Dindigul,Male,ABC School Dindigul,Private Matriculation,BC,Christian,Management,Day Scholar,Newspaper Ad,We decided to invest in management quota considering the ROI through placements.,Interest,Become an Entrepreneur,173,Regional,Below Average,Middle,Distant,Other,Neutral
Coimbatore,Female,XYZ International School Coimbatore,Private CBSE,MBC,Christian,Management,Hostel,College Website,Good value for money considering the quality of engineering programs offered.,Counselling,High Placement,182,Local,Average,Premium,Close,Digital,Positive
Namakkal,Female,Sri Vidya Mandir Namakkal,Private Matriculation,MBC,Christian,Management,Day Scholar,Friend Family Referral,Good value for money considering the quality of engineering programs offered.,Interest,Become an Entrepreneur,179,Regional,Below Average,Middle,Distant,Referral,Positive
Salem,Female,Anna University HSS Salem,Private CBSE,BC,Christian,Management,Day Scholar,Campus Visit,"Being close to home, day scholar option works perfectly for our family.",Interest,Government Job,193,Local,High Performer,Premium,Close,Other,Positive
Tiruppur,Male,JKL CBSE Tiruppur,Private CBSE,MBC,Hindu,Management,Day Scholar,Friend Family Referral,Alumni working in good companies gave positive feedback about the college.,Interest,High Placement,190,Local,Average,Premium,Close,Referral,Positive
Bangalore,Female,ABC School Bangalore,Private Matriculation,BC,Christian,Management,Day Scholar,School Counselor,The campus environment seems conducive for focused technical studies.,Interest,High Placement,194,Metro,High Performer,Middle,Distant,Referral,Neutral
Erode,Female,Bharathi Vidyalaya Erode,Private CBSE,OC,Christian,Management,Day Scholar,College Website,No hostel expenses and we can monitor the studies closely from home.,Interest,Government Job,194,Local,High Performer,Premium,Very Close,Digital,Neutral
Coimbatore,Male,Sri Ramakrishna Mission School,Private CBSE,BC,Hindu,Government Counselling,Day Scholar,Education Fair,The campus environment seems conducive for focused technical studies.,Counselling,Higher Studies Masters,182,Local,Average,Mixed,Close,Traditional,Neutral
Namakkal,Female,Rasipuram HSS,Private CBSE,BC,Christian,Government Counselling,Day Scholar,Google Search,The faculty qualifications and research opportunities impressed us during the campus visit.,Counselling,High Placement,180,Regional,Below Average,Mixed,Distant,Digital,Positive
Salem,Male,Yercaud HSS,Private CBSE,SC,Hindu,Government Counselling,Day Scholar,Alumni Reference,"Being close to home, day scholar option works perfectly for our family.",Counselling,Become an Entrepreneur,183,Local,Average,Mixed,Close,Other,Positive
Tiruppur,Male,GHI Public School Tiruppur,Private CBSE,SC,Hindu,Management,Day Scholar,Education Fair,Alumni working in good companies gave positive feedback about the college.,Interest,High Placement,175,Local,Below Average,Premium,Close,Traditional,Positive
Coimbatore,Male,St. Michaels HSS,Private Matriculation,OC,Hindu,Government Counselling,Hostel,College Website,The faculty qualifications and research opportunities impressed us during the campus visit.,Interest,High Placement,186,Local,Average,Middle,Close,Digital,Positive
Trichy,Male,Government HSS Trichy,Government,OC,Hindu,Government Counselling,Hostel,College Website,Good hostel facilities and the mess food quality during our visit was satisfactory.,Counselling,High Placement,189,Regional,Average,Budget,Distant,Digital,Positive
Coimbatore,Female,XYZ International School Coimbatore,Private CBSE,MBC,Hindu,Management,Hostel,Newspaper Ad,We heard about BIT through newspaper ad and the reviews were positive.,Interest,High Placement,188,Local,Average,Premium,Close,Other,Neutral
